sort name,data type,size,time
Bubble Sort,sorted,1000000,375.842118
Insertion Sort,sorted,1000000,0.000605
Selection Sort,sorted,1000000,250.532003
Heap Sort,sorted,1000000,0.056239
Radix Sort,sorted,1000000,0.109374
Merge Sort,Random sorted,50,0.000011
Quick Sort,Random sorted,50,0.000003
Bubble Sort,Random sorted,50,0.000004
Insertion Sort,Random sorted,50,0.000001
Selection Sort,Random sorted,50,0.000003
Heap Sort,Random sorted,50,0.000003
Radix Sort,Random sorted,50,0.000084
Merge Sort,Random sorted,100,0.000017
Quick Sort,Random sorted,100,0.000003
Bubble Sort,Random sorted,100,0.000011
Insertion Sort,Random sorted,100,0.000002
Selection Sort,Random sorted,100,0.000006
Heap Sort,Random sorted,100,0.000004
Radix Sort,Random sorted,100,0.000087
Merge Sort,Random sorted,500,0.000076
Quick Sort,Random sorted,500,0.000017
Bubble Sort,Random sorted,500,0.000179
Insertion Sort,Random sorted,500,0.000029
Selection Sort,Random sorted,500,0.000087
Heap Sort,Random sorted,500,0.000025
Radix Sort,Random sorted,500,0.000107
Merge Sort,Random sorted,1000,0.000152
Quick Sort,Random sorted,1000,0.000037
Bubble Sort,Random sorted,1000,0.000676
Insertion Sort,Random sorted,1000,0.000121
Selection Sort,Random sorted,1000,0.000305
Heap Sort,Random sorted,1000,0.000055
Radix Sort,Random sorted,1000,0.000153
Merge Sort,Random sorted,5000,0.000813
Quick Sort,Random sorted,5000,0.000216
Bubble Sort,Random sorted,5000,0.017017
Insertion Sort,Random sorted,5000,0.002733
Selection Sort,Random sorted,5000,0.006586
Heap Sort,Random sorted,5000,0.000318
Radix Sort,Random sorted,5000,0.000347
Merge Sort,Random sorted,10000,0.001687
Quick Sort,Random sorted,10000,0.000442
Bubble Sort,Random sorted,10000,0.081306
Insertion Sort,Random sorted,10000,0.010930
Selection Sort,Random sorted,10000,0.025575
Heap Sort,Random sorted,10000,0.000691
Radix Sort,Random sorted,10000,0.000606
Merge Sort,Random sorted,50000,0.008588
Quick Sort,Random sorted,50000,0.002500
Bubble Sort,Random sorted,50000,2.971126
Insertion Sort,Random sorted,50000,0.271650
Selection Sort,Random sorted,50000,0.626756
Heap Sort,Random sorted,50000,0.004037
Radix Sort,Random sorted,50000,0.002669
Merge Sort,Random sorted,100000,0.017435
Quick Sort,Random sorted,100000,0.005204
Bubble Sort,Random sorted,100000,12.175439
Insertion Sort,Random sorted,100000,1.091138
Selection Sort,Random sorted,100000,2.506169
Heap Sort,Random sorted,100000,0.008653
Radix Sort,Random sorted,100000,0.005246
Merge Sort,Random sorted,500000,0.091865
Quick Sort,Random sorted,500000,0.032221
Bubble Sort,Random sorted,500000,305.086238
Insertion Sort,Random sorted,500000,27.277129
Selection Sort,Random sorted,500000,62.701693
Heap Sort,Random sorted,500000,0.050523
Radix Sort,Random sorted,500000,0.027771
Merge Sort,Random sorted,1000000,0.184102
Quick Sort,Random sorted,1000000,0.077490
Bubble Sort,Random sorted,1000000,1285.637965
Insertion Sort,Random sorted,1000000,117.799019
Selection Sort,Random sorted,1000000,295.313349
Heap Sort,Random sorted,1000000,0.126466
Radix Sort,Random sorted,1000000,0.058413
Merge Sort,Reverse sorted,50,0.000009
Quick Sort,Reverse sorted,50,0.000003
Bubble Sort,Reverse sorted,50,0.000002
Insertion Sort,Reverse sorted,50,0.000001
Selection Sort,Reverse sorted,50,0.000002
Heap Sort,Reverse sorted,50,0.000002
Radix Sort,Reverse sorted,50,0.000013
Merge Sort,Reverse sorted,100,0.000018
Quick Sort,Reverse sorted,100,0.000006
Bubble Sort,Reverse sorted,100,0.000006
Insertion Sort,Reverse sorted,100,0.000003
Selection Sort,Reverse sorted,100,0.000006
Heap Sort,Reverse sorted,100,0.000004
Radix Sort,Reverse sorted,100,0.000005
Merge Sort,Reverse sorted,500,0.000064
Quick Sort,Reverse sorted,500,0.000070
Bubble Sort,Reverse sorted,500,0.000096
Insertion Sort,Reverse sorted,500,0.000056
Selection Sort,Reverse sorted,500,0.000090
Heap Sort,Reverse sorted,500,0.000020
Radix Sort,Reverse sorted,500,0.000023
Merge Sort,Reverse sorted,1000,0.000120
Quick Sort,Reverse sorted,1000,0.000323
Bubble Sort,Reverse sorted,1000,0.000377
Insertion Sort,Reverse sorted,1000,0.000220
Selection Sort,Reverse sorted,1000,0.000342
Heap Sort,Reverse sorted,1000,0.000041
Radix Sort,Reverse sorted,1000,0.000067
Merge Sort,Reverse sorted,5000,0.000626
Quick Sort,Reverse sorted,5000,0.007543
Bubble Sort,Reverse sorted,5000,0.010289
Insertion Sort,Reverse sorted,5000,0.006240
Selection Sort,Reverse sorted,5000,0.006597
Heap Sort,Reverse sorted,5000,0.000239
Radix Sort,Reverse sorted,5000,0.000320
Merge Sort,Reverse sorted,10000,0.001595
Quick Sort,Reverse sorted,10000,0.032394
Bubble Sort,Reverse sorted,10000,0.043759
Insertion Sort,Reverse sorted,10000,0.022897
Selection Sort,Reverse sorted,10000,0.027664
Heap Sort,Reverse sorted,10000,0.000481
Radix Sort,Reverse sorted,10000,0.000773
Merge Sort,Reverse sorted,50000,0.006902
Quick Sort,Reverse sorted,50000,0.889055
Bubble Sort,Reverse sorted,50000,1.176225
Insertion Sort,Reverse sorted,50000,0.594858
Selection Sort,Reverse sorted,50000,0.688809
Heap Sort,Reverse sorted,50000,0.002878
Radix Sort,Reverse sorted,50000,0.004165
Merge Sort,Reverse sorted,100000,0.013726
Quick Sort,Reverse sorted,100000,3.439666
Bubble Sort,Reverse sorted,100000,4.610951
Insertion Sort,Reverse sorted,100000,2.376759
Selection Sort,Reverse sorted,100000,2.796786
Heap Sort,Reverse sorted,100000,0.006066
Radix Sort,Reverse sorted,100000,0.011076
Merge Sort,Reverse sorted,500000,0.073719
Quick Sort,Reverse sorted,500000,90.308833
Bubble Sort,Reverse sorted,500000,114.532142
Insertion Sort,Reverse sorted,500000,57.170921
Selection Sort,Reverse sorted,500000,69.901607
Heap Sort,Reverse sorted,500000,0.029895
Radix Sort,Reverse sorted,500000,0.054619
Merge Sort,Reverse sorted,1000000,0.142959
Quick Sort,Reverse sorted,1000000,361.123730
Bubble Sort,Reverse sorted,1000000,405.260723
Insertion Sort,Reverse sorted,1000000,235.927768
Selection Sort,Reverse sorted,1000000,258.927940
Heap Sort,Reverse sorted,1000000,0.069033
Radix Sort,Reverse sorted,1000000,0.134837
Merge Sort,Small_range sorted,50,0.000012
Quick Sort,Small_range sorted,50,0.000002
Bubble Sort,Small_range sorted,50,0.000006
Insertion Sort,Small_range sorted,50,0.000002
Selection Sort,Small_range sorted,50,0.000003
Heap Sort,Small_range sorted,50,0.000002
Radix Sort,Small_range sorted,50,0.000003
Merge Sort,Small_range sorted,100,0.000021
Quick Sort,Small_range sorted,100,0.000003
Bubble Sort,Small_range sorted,100,0.000014
Insertion Sort,Small_range sorted,100,0.000002
